date,spx
12/03/2025,5599.30
11/03/2025,5572.07
10/03/2025,5614.56
07/03/2025,5770.20
06/03/2025,5738.52
05/03/2025,5842.63
04/03/2025,5778.15
03/03/2025,5849.72
28/02/2025,5954.50
27/02/2025,5861.57
26/02/2025,5956.06
25/02/2025,5955.25
24/02/2025,5983.25
21/02/2025,6013.13
20/02/2025,6117.52
19/02/2025,6144.15
18/02/2025,6129.58
14/02/2025,6114.63
13/02/2025,6115.07
12/02/2025,6051.97
11/02/2025,6068.50
10/02/2025,6066.44
07/02/2025,6025.99
06/02/2025,6083.57
05/02/2025,6061.48
04/02/2025,6037.88
03/02/2025,5994.57
31/01/2025,6040.53
30/01/2025,6071.17
29/01/2025,6039.31
28/01/2025,6067.70
27/01/2025,6012.28
24/01/2025,6101.24
23/01/2025,6118.71
22/01/2025,6086.37
21/01/2025,6049.24
17/01/2025,5996.66
16/01/2025,5937.34
15/01/2025,5949.91
14/01/2025,5842.91
13/01/2025,5836.22
10/01/2025,5827.04
08/01/2025,5918.25
07/01/2025,5909.03
06/01/2025,5975.38
03/01/2025,5942.47
02/01/2025,5868.55
31/12/2024,5881.63
30/12/2024,5906.94
27/12/2024,5970.84
26/12/2024,6037.59
24/12/2024,6040.04
23/12/2024,5974.07
20/12/2024,5930.85
19/12/2024,5867.08
18/12/2024,5872.16
17/12/2024,6050.61
16/12/2024,6074.08
13/12/2024,6051.09
12/12/2024,6051.25
11/12/2024,6084.19
10/12/2024,6034.91
09/12/2024,6052.85
06/12/2024,6090.27
05/12/2024,6075.11
04/12/2024,6086.49
03/12/2024,6049.88
02/12/2024,6047.15
29/11/2024,6032.38
27/11/2024,5998.74
26/11/2024,6021.63
25/11/2024,5987.37
22/11/2024,5969.34
21/11/2024,5948.71
20/11/2024,5917.11
19/11/2024,5916.98
18/11/2024,5893.62
15/11/2024,5870.62
14/11/2024,5949.17
