date,spx
13/11/2024,5985.38
12/11/2024,5983.99
11/11/2024,6001.35
08/11/2024,5995.54
07/11/2024,5973.10
06/11/2024,5929.04
05/11/2024,5782.76
04/11/2024,5712.69
01/11/2024,5728.80
31/10/2024,5705.45
30/10/2024,5813.67
29/10/2024,5832.92
28/10/2024,5823.52
25/10/2024,5808.12
24/10/2024,5809.86
23/10/2024,5797.42
22/10/2024,5851.20
21/10/2024,5853.98
18/10/2024,5864.67
17/10/2024,5841.47
16/10/2024,5842.47
15/10/2024,5815.26
14/10/2024,5859.85
11/10/2024,5815.03
10/10/2024,5780.05
09/10/2024,5792.04
08/10/2024,5751.13
07/10/2024,5695.94
04/10/2024,5751.07
03/10/2024,5699.94
02/10/2024,5709.54
01/10/2024,5708.75
30/09/2024,5762.48
27/09/2024,5738.17
26/09/2024,5745.37
25/09/2024,5722.26
24/09/2024,5732.93
23/09/2024,5718.57
20/09/2024,5702.55
19/09/2024,5713.64
18/09/2024,5618.26
17/09/2024,5634.58
16/09/2024,5633.09
13/09/2024,5626.02
12/09/2024,5595.76
11/09/2024,5554.13
10/09/2024,5495.52
09/09/2024,5471.05
06/09/2024,5408.42
05/09/2024,5503.41
04/09/2024,5520.07
03/09/2024,5528.93
30/08/2024,5648.40
29/08/2024,5591.96
28/08/2024,5592.18
27/08/2024,5625.80
26/08/2024,5616.84
23/08/2024,5634.61
22/08/2024,5570.64
21/08/2024,5620.85
20/08/2024,5597.12
19/08/2024,5608.25
16/08/2024,5554.25
15/08/2024,5543.22
14/08/2024,5455.21
13/08/2024,5434.43
12/08/2024,5344.39
09/08/2024,5344.16
08/08/2024,5319.31
07/08/2024,5199.50
06/08/2024,5240.03
05/08/2024,5186.33
02/08/2024,5346.56
01/08/2024,5446.68
31/07/2024,5522.30
30/07/2024,5436.44
29/07/2024,5463.54
26/07/2024,5459.10
25/07/2024,5399.22
24/07/2024,5427.13
23/07/2024,5555.74
22/07/2024,5564.41
19/07/2024,5505.00
18/07/2024,5544.59
17/07/2024,5588.27
16/07/2024,5667.20
